"","SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
"9260",71420,2,2,2,2,2,2,2,2,2,99,NA,9,2,3
"9261",71421,1,2,2,2,2,2,2,2,2,4,0.46,1,2,1
"9262",71422,1,1,2,2,2,2,2,1,2,11,4.06,3,NA,NA
"9263",71423,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
"9264",71424,1,2,2,2,2,2,2,2,2,1,0,1,2,1
"9265",71425,1,2,2,2,2,2,2,2,2,5,1.26,1,2,1
"9266",71426,1,1,2,2,2,2,2,2,2,5,0.71,1,2,1
"9267",71427,1,2,2,2,2,2,2,2,2,10,3.22,3,NA,NA
"9268",71428,1,2,2,2,2,2,2,2,1,8,2.83,3,2,1
"9269",71429,2,2,2,2,2,2,1,2,2,3,0.33,1,2,1
"9270",71430,1,2,1,2,2,1,2,2,2,7,1.61,2,2,5
"9271",71431,1,2,2,2,2,2,2,2,2,1,0,1,2,1
"9272",71432,1,2,2,2,2,2,2,1,2,10,2.67,3,NA,NA
"9273",71433,1,2,2,2,2,2,2,2,1,6,1.27,1,2,1
"9274",71434,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"9275",71435,1,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
"9276",71436,1,1,1,1,2,2,2,2,2,99,NA,3,NA,NA
"9277",71437,1,2,2,2,2,2,2,2,2,1,0.16,1,2,1
"9278",71438,1,2,1,2,1,2,2,2,2,99,NA,3,9,NA
"9279",71439,1,1,2,2,2,2,2,1,2,11,2.23,3,NA,NA
"9280",71440,1,1,1,2,1,2,2,2,1,10,2.32,3,NA,NA
"9281",71441,2,1,2,2,2,2,2,2,2,3,0.37,1,2,1
"9282",71442,2,2,2,2,2,2,1,1,1,8,2.51,3,NA,NA
"9283",71443,1,2,2,2,2,2,2,2,2,6,1.04,1,2,2
"9284",71444,1,2,2,2,2,2,2,2,1,1,0,1,2,1
"9285",71445,1,2,2,2,2,2,2,2,2,4,0.52,1,2,1
"9286",71446,1,2,2,2,2,2,2,2,2,4,0.69,1,2,1
"9287",71447,2,2,2,2,2,2,2,2,2,1,0.28,1,2,1
"9288",71448,1,2,2,2,2,2,2,2,2,7,1.82,2,2,1
"9289",71449,1,2,2,2,2,2,2,2,2,6,2.53,3,NA,NA
"9290",71450,2,1,2,2,2,2,2,2,2,5,1.04,1,2,1
"9291",71451,1,2,2,2,2,2,2,2,2,4,1.54,2,2,1
"9292",71452,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"9293",71453,1,2,2,2,2,2,2,2,1,8,2.51,3,NA,NA
"9294",71454,1,2,2,2,2,2,1,2,1,3,0.52,1,2,1
"9295",71455,2,2,1,2,2,1,2,2,2,3,1.07,1,2,1
"9296",71456,2,2,2,2,2,2,2,2,1,1,0.28,1,2,1
"9297",71457,2,2,1,2,1,2,2,2,2,3,0.92,1,2,1
"9298",71458,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA
"9299",71459,1,2,2,2,2,2,2,1,2,11,4.53,3,NA,NA
"9300",71460,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
