Unnamed: 0,RespondentID,Income_Wages,Income_SelfEmployment,Income_SocialSecurity,Income_DisabilityPension,Income_RetirementPension,Income_SSI,Income_CashAssistance,Income_InterestDividends,Income_OtherSources,MonthlyIncomeRange,PovertyLevelIndex,PovertyLevelCategory,INQ300,IND310,INQ320
80,83811,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,3.82,3.0,1.0,,1.0
81,83812,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,11.0,4.78,3.0,1.0,,1.0
82,83813,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.75,3.0,2.0,1.0,1.0
83,83814,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,2.96,3.0,2.0,1.0,1.0
84,83815,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.12,1.0,2.0,1.0,1.0
85,83816,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0
86,83817,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,4.22,3.0,1.0,,1.0
87,83818,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,0.96,1.0,2.0,3.0,4.0
88,83819,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,8.0,2.07,3.0,2.0,1.0,1.0
89,83820,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,7.0,3.57,3.0,1.0,,1.0
90,83821,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.03,1.0,2.0,1.0,3.0
91,83822,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.3,1.0,2.0,1.0,1.0
92,83823,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,0.42,1.0,2.0,1.0,3.0
93,83824,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0
94,83825,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,8.0,1.47,2.0,2.0,1.0,1.0
95,83826,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0
96,83827,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,9.0,3.77,3.0,1.0,,1.0
97,83828,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.49,1.0,2.0,1.0,1.0
98,83829,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,1.0,,1.0
99,83830,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.78,2.0,2.0,1.0,1.0
100,83831,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,0.6,1.0,2.0,1.0,1.0
