SEQN,Monthly family income,Total household income,Total family income,education level,Year
62607,3,1,1,3,2011.2012
62609,6,5,5,4,2011.2012
62610,3,3,3,1,2011.2012
62611,2,3,3,2,2011.2012
62612,10,9,9,5,2011.2012
62613,1,3,3,4,2011.2012
62614,11,15,15,5,2011.2012
62616,4,4,4,4,2011.2012
62617,6,6,6,4,2011.2012
62618,12,15,15,5,2011.2012
62619,7,7,7,5,2011.2012
62620,4,6,6,2,2011.2012
62621,7,8,8,4,2011.2012
62622,8,15,15,5,2011.2012
62623,6,6,6,2,2011.2012
62624,11,14,14,5,2011.2012
62625,11,15,15,3,2011.2012
62626,4,4,4,1,2011.2012
62627,5,9,9,3,2011.2012
62628,8,8,8,4,2011.2012
62630,4,3,3,2,2011.2012
62631,5,6,6,4,2011.2012
62632,5,5,5,1,2011.2012
62633,12,15,15,5,2011.2012
62634,8,8,8,2,2011.2012
62635,7,5,5,5,2011.2012
62636,4,4,4,3,2011.2012
62638,3,13,3,1,2011.2012
62639,9,9,9,2,2011.2012
62640,5,6,6,3,2011.2012
62641,7,14,14,2,2011.2012
62642,1,1,1,3,2011.2012
62644,5,5,5,4,2011.2012
62646,6,8,8,2,2011.2012
62648,9,10,10,5,2011.2012
62649,7,8,8,3,2011.2012
62650,9,6,6,1,2011.2012
62651,1,6,6,3,2011.2012
62652,3,14,14,3,2011.2012
62653,6,6,6,3,2011.2012
62654,1,5,2,3,2011.2012
62655,8,9,9,4,2011.2012
62658,6,6,6,3,2011.2012
62659,7,7,7,3,2011.2012
62661,7,14,7,5,2011.2012
62662,8,7,7,3,2011.2012
62663,12,15,15,5,2011.2012
62664,5,8,8,5,2011.2012
62665,7,7,7,3,2011.2012
62667,11,14,14,5,2011.2012
62668,5,6,6,4,2011.2012
62669,5,6,6,3,2011.2012
62670,7,8,8,3,2011.2012
62673,7,8,8,2,2011.2012
62674,6,6,6,5,2011.2012
62676,7,8,8,3,2011.2012
62677,10,10,10,4,2011.2012
62678,3,5,5,1,2011.2012
62679,3,6,3,1,2011.2012
62680,11,14,14,3,2011.2012
62681,5,3,3,1,2011.2012
62682,3,3,3,3,2011.2012
62686,6,7,7,3,2011.2012
62687,8,8,8,4,2011.2012
62688,5,6,6,5,2011.2012
62689,12,15,15,5,2011.2012
62691,7,7,7,3,2011.2012
62692,6,7,7,4,2011.2012
62693,5,5,5,2,2011.2012
62694,3,3,3,3,2011.2012
62695,2,2,2,2,2011.2012
62696,5,6,6,4,2011.2012
62697,4,6,6,3,2011.2012
62699,5,8,8,5,2011.2012
62700,5,3,3,3,2011.2012
62701,8,8,8,4,2011.2012
62702,7,6,6,4,2011.2012
62703,8,8,8,3,2011.2012
62705,10,15,15,4,2011.2012
62707,7,6,6,2,2011.2012
62708,6,6,6,3,2011.2012
62710,7,5,5,5,2011.2012
62711,8,6,6,5,2011.2012
62712,6,4,4,3,2011.2012
62714,3,3,3,1,2011.2012
62715,11,15,15,5,2011.2012
62717,5,6,4,3,2011.2012
62718,5,6,6,4,2011.2012
62719,8,15,8,1,2011.2012
62720,8,15,15,5,2011.2012
62721,12,15,15,5,2011.2012
62722,6,6,6,2,2011.2012
62723,12,15,15,5,2011.2012
62724,12,15,15,5,2011.2012
62725,8,8,8,4,2011.2012
62726,12,15,15,4,2011.2012
62727,5,6,6,4,2011.2012
62732,2,2,2,2,2011.2012
62733,12,15,15,5,2011.2012
62734,3,2,2,4,2011.2012
62735,12,15,15,5,2011.2012
62736,4,6,6,4,2011.2012
62737,3,3,3,1,2011.2012
62738,6,6,6,3,2011.2012
62739,9,8,8,5,2011.2012
62740,7,8,8,2,2011.2012
62742,5,6,6,1,2011.2012
62744,8,9,9,4,2011.2012
62747,9,14,14,4,2011.2012
62748,9,9,9,5,2011.2012
62749,11,15,15,2,2011.2012
62750,3,3,3,4,2011.2012
62751,7,7,7,3,2011.2012
62753,8,6,6,1,2011.2012
62755,2,3,3,3,2011.2012
62756,6,7,7,2,2011.2012
62758,12,15,15,5,2011.2012
62760,5,7,7,3,2011.2012
62761,7,6,6,3,2011.2012
62762,9,10,10,4,2011.2012
62763,12,15,15,4,2011.2012
62764,1,1,1,3,2011.2012
62765,7,7,7,5,2011.2012
62769,5,5,5,2,2011.2012
62770,8,14,14,5,2011.2012
62771,2,2,2,2,2011.2012
62772,11,15,15,5,2011.2012
62773,3,1,1,4,2011.2012
62774,3,3,3,4,2011.2012
62775,4,6,6,1,2011.2012
62776,5,6,6,3,2011.2012
62777,7,15,5,5,2011.2012
