SEQN,Income from wages/salaries,Income from self employment,Income from Social Security or RR,Income from other disability pension,Income from retirement/survivor pension,Income from Supplemental Security,Income from state/county cash assistance,Income from interest/dividends or rental,Income from other sources,Monthly family income,Family monthly poverty level index,Family monthly poverty level category,Gender,Total household income,Total family income,A ratio of family income to poverty guidelines,In what country were you born?,Age,person's education level,Year
62263,2,2,1,1,2,2,2,2,2,3,0.55,1,1,3,3,0.61,1,38,2,2011.2012
62264,2,2,1,2,1,2,2,1,2,5,1.63,2,1,7,7,2.72,1,77,2,2011.2012
62265,1,2,1,2,2,2,2,2,2,7,1.16,1,1,7,7,1.13,1,52,4,2011.2012
62266,2,2,1,2,2,2,2,2,2,5,2.15,3,1,12,5,1.79,2,52,4,2011.2012
62267,1,2,2,2,2,2,2,2,1,5,1.04,1,2,6,6,1.08,1,39,4,2011.2012
62269,2,2,1,2,2,1,1,2,1,5,0.72,1,1,1,1,0.1,1,27,2,2011.2012
62270,1,2,2,2,2,2,2,2,2,3,0.44,1,2,4,4,0.56,2,49,2,2011.2012
62272,1,2,1,1,1,1,2,2,2,5,0.62,1,1,6,6,0.64,1,60,3,2011.2012
62273,1,2,2,2,2,2,2,1,2,11,3.76,3,2,14,14,4.03,1,51,4,2011.2012
62274,2,2,2,2,2,2,1,2,1,3,0.55,1,1,3,3,0.38,1,37,4,2011.2012
62275,1,2,2,2,2,2,2,1,2,12,5,3,2,15,15,5,2,41,5,2011.2012
62276,2,1,2,2,2,2,2,2,2,12,5,3,1,15,15,5,1,42,5,2011.2012
62277,1,2,2,2,2,2,2,2,2,8,4.41,3,2,9,9,5,1,55,4,2011.2012
62278,1,2,1,2,1,2,2,1,2,7,2.62,3,2,7,7,2.51,1,72,4,2011.2012
62280,1,2,2,1,2,2,2,2,2,4,1.31,2,2,6,6,1.7,1,54,4,2011.2012
62281,1,1,2,2,2,2,2,2,2,6,1.01,1,2,6,6,0.96,1,35,4,2011.2012
62284,1,1,1,2,2,2,2,2,2,7,1.89,3,2,8,8,2.41,1,63,4,2011.2012
62285,1,2,1,1,2,2,2,2,1,8,2.83,3,2,6,6,1.31,1,51,4,2011.2012
62287,2,2,1,2,1,2,2,1,2,7,2.45,3,2,6,6,2.11,1,79,3,2011.2012
62288,1,2,2,2,2,2,2,2,2,5,2.24,3,1,9,6,2.24,1,27,5,2011.2012
62289,2,1,1,2,1,2,2,2,2,3,1.29,1,1,3,3,1.07,1,71,2,2011.2012
62291,1,2,2,2,1,2,2,2,2,11,5,3,1,14,14,5,2,56,4,2011.2012
62292,1,2,1,2,1,2,2,1,1,12,5,3,1,15,15,5,1,80,5,2011.2012
62293,2,2,1,1,2,2,2,2,2,3,1.29,1,1,3,3,1.16,2,67,4,2011.2012
62294,2,2,2,2,2,1,1,2,2,3,0.57,1,1,3,3,0.54,1,33,1,2011.2012
62295,2,2,1,2,2,2,2,2,2,2,0.79,1,2,2,2,0.79,2,69,2,2011.2012
62296,1,2,2,2,2,2,2,2,2,11,5,3,1,15,15,5,1,51,5,2011.2012
62297,1,2,2,2,2,2,2,1,1,8,2.51,3,1,10,10,3.67,1,43,4,2011.2012
62300,1,2,2,2,2,2,2,2,2,4,0.88,1,2,14,14,4.09,1,37,5,2011.2012
62303,2,2,1,2,2,2,2,1,2,4,0.97,1,2,6,6,1.62,1,80,3,2011.2012
62304,1,2,2,2,2,2,2,2,2,6,1.15,1,2,6,6,0.96,1,39,2,2011.2012
62305,1,2,2,2,2,2,2,2,2,9,2.37,3,1,9,9,2.37,1,48,4,2011.2012
62307,2,2,1,2,2,1,2,2,2,4,1.27,1,1,4,4,1.2,1,80,3,2011.2012
62308,2,2,1,2,1,2,2,1,2,11,5,3,2,7,7,2.64,1,79,4,2011.2012
62309,1,2,2,2,2,2,2,2,2,3,0.31,1,2,4,4,0.46,2,31,2,2011.2012
62310,2,2,1,2,2,1,1,2,1,5,0.72,1,2,1,1,0.1,1,27,2,2011.2012
62312,1,2,1,2,2,2,1,1,2,9,2.22,3,2,8,8,1.85,2,66,1,2011.2012
62313,1,2,2,2,2,2,2,2,2,4,0.69,1,1,5,5,0.76,1,44,1,2011.2012
62314,2,2,2,2,2,2,2,2,1,3,1.01,1,1,3,3,1.33,1,61,3,2011.2012
62316,1,2,2,2,2,1,2,2,2,4,0.81,1,1,4,4,0.81,2,37,2,2011.2012
62319,2,2,2,2,2,2,2,2,2,1,0.09,1,2,1,1,0.08,1,19,3,2011.2012
62320,1,2,1,1,2,2,2,1,2,8,3.26,3,2,7,7,2.89,1,64,4,2011.2012
62321,1,1,2,2,2,2,2,1,2,12,4.56,3,2,14,14,4.03,2,50,5,2011.2012
62322,1,2,2,2,2,2,2,2,1,4,0.41,1,2,4,4,0.4,1,25,2,2011.2012
62324,1,2,2,2,2,2,2,2,2,2,0.14,1,2,3,3,0.23,2,35,2,2011.2012
62325,1,2,2,2,2,2,2,2,2,2,0.41,1,2,1,1,0.1,1,56,3,2011.2012
62326,1,1,1,2,2,2,2,1,1,1,0.24,1,1,10,10,4.3,1,56,5,2011.2012
62327,1,2,2,2,2,2,2,2,1,4,0.67,1,2,6,6,1.12,1,63,1,2011.2012
62329,1,2,2,2,2,2,2,2,2,3,0.53,1,1,3,3,0.39,1,32,1,2011.2012
