Unnamed: 0,RespondentID,Income_Wages,Income_SelfEmployment,Income_SocialSecurity,Income_DisabilityPension,Income_RetirementPension,Income_SSI,Income_CashAssistance,Income_InterestDividends,Income_OtherSources,MonthlyIncomeRange,PovertyLevelIndex,PovertyLevelCategory,Savings_Over5000,TotalSavings
135,62295,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.79,1.0,2.0,2.0
136,62296,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,5.0,3.0,,
137,62297,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,8.0,2.51,3.0,,
138,62298,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,11.0,4.3,3.0,,
139,62299,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,2.0,2.0,1.0
140,62300,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.88,1.0,,
141,62301,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,99.0,,1.0,2.0,1.0
142,62302,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,
143,62303,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,0.97,1.0,1.0,
144,62304,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.15,1.0,2.0,1.0
145,62305,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,2.37,3.0,,
146,62306,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,77.0,,3.0,1.0,
147,62307,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.27,1.0,2.0,1.0
148,62308,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,11.0,5.0,3.0,,
149,62309,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.31,1.0,2.0,1.0
150,62310,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,0.72,1.0,2.0,1.0
151,62311,1.0,2.0,2.0,1.0,1.0,2.0,2.0,7.0,2.0,99.0,,3.0,,
