"","SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
"6460",80016,1,2,1,2,2,2,2,2,2,5,0.75,1,2,1
"6461",80017,1,2,1,2,1,2,1,2,1,3,0.46,1,2,1
"6462",80018,1,2,1,1,2,2,2,2,1,77,NA,3,1,NA
"6463",80019,2,2,1,1,2,1,2,2,2,5,0.64,1,2,1
"6464",80020,1,2,2,2,2,2,2,2,2,7,1.73,2,2,1
"6465",80021,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
"6466",80022,1,1,2,2,2,2,1,2,2,4,0.75,1,2,1
"6467",80023,2,2,1,2,2,2,2,1,2,8,3.09,3,NA,NA
"6468",80024,1,2,2,2,2,2,2,2,2,7,1.97,3,NA,NA
"6469",80025,1,2,2,2,2,2,2,2,2,6,1.29,1,2,1
"6470",80026,1,2,2,2,2,2,2,2,2,5,1.21,1,NA,NA
"6471",80027,1,2,2,2,2,2,2,2,2,9,1.67,2,NA,NA
"6472",80028,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"6473",80029,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"6474",80030,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"6475",80031,1,2,2,2,2,2,2,2,2,6,1.52,2,2,1
"6476",80032,1,2,2,2,2,2,2,2,2,10,3.06,3,NA,NA
"6477",80033,1,2,1,2,2,2,2,2,1,6,0.91,1,2,1
"6478",80034,1,1,2,2,2,2,2,2,2,5,2.06,3,NA,NA
"6479",80035,1,2,2,2,2,1,2,2,1,5,0.51,1,2,1
"6480",80036,1,2,2,2,2,2,2,2,2,77,NA,1,2,1
"6481",80037,2,2,1,2,2,2,2,2,2,9,3.87,3,NA,NA
"6482",80038,1,2,1,2,2,2,2,2,1,3,0.44,1,2,1
"6483",80039,1,2,2,2,2,2,2,2,2,7,1.29,1,2,1
"6484",80040,2,2,1,2,1,2,2,2,2,3,0.86,1,2,1
"6485",80041,1,2,2,2,2,2,2,2,2,3,0.46,1,2,1
"6486",80042,1,2,2,2,2,2,2,2,1,NA,NA,NA,NA,NA
"6487",80043,1,2,2,2,2,2,2,2,1,6,0.91,1,2,1
"6488",80044,2,2,1,2,1,2,2,1,2,8,3.09,3,NA,NA
"6489",80045,2,1,2,2,2,2,2,2,2,12,5,3,NA,NA
"6490",80046,1,2,2,2,2,2,2,2,2,2,0.27,1,2,1
"6491",80047,1,2,2,2,2,2,2,2,2,7,1.31,2,2,1
"6492",80048,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"6493",80049,1,2,2,2,1,2,2,2,2,8,2.73,3,NA,NA
"6494",80050,1,1,2,2,2,2,2,2,2,4,0.75,1,NA,NA
"6495",80051,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"6496",80052,1,2,2,2,2,2,2,2,2,1,0,1,2,1
